"uni_lemma","replacement"
"a lot","big"
"all gone","complete"
"atole","chocolate"
"baa baa","lamb"
"baby food","food"
"badly","bad"
"be opened","open"
"be scared","scared"
"beads","bead"
"beans","bean"
"beautifully","beautiful"
"beep beep","beep"
"belly button","bellybutton"
"berry","blueberry"
"bidet","potty"
"bless you","bless"
"bravo","cheer"
"bubbles","bubble"
"bye","greet"
"bzzz","bee"
"cacao","cocoa"
"carefully","careful"
"carrots","carrot"
"caw","crow"
"cheerios","cereal"
"choo choo","train"
"cleanly","clean"
"clementine","mandarin"
"clop clop","horse"
"closed","close"
"cockadoodledoo","rooster"
"coldly","cold"
"come on","come"
"compote","juice"
"cottage cheese","curd"
"cuddles","cuddle"
"cut it out","stop"
"darkly","dark"
"dirtily","dirty"
"don't","refuse"
"drip drop","drip"
"eat breakfast","breakfast"
"eat dinner","dinner"
"enough","sufficient"
"fast","quick"
"feet","foot"
"finished","finish"
"firetruck","fireman"
"flowerpot","pot"
"frost","frosty"
"get hungry","hungry"
"get off","off"
"get up","wake"
"glasses","eyeglasses"
"go out","out"
"go out","exit"
"go potty","potty"
"gobble gobble","turkey"
"good boy/girl","good"
"good morning","greet"
"good night","greet"
"grapes","grape"
"grrr","growl"
"hands up","up"
"have hands","hands"
"heavily","heavy"
"hedgehog","hamster"
"hee haw","donkey"
"hello","greet"
"hi","greet"
"hide and seek","game"
"high chair","chair"
"honk honk","honk"
"hot dog","hotdog"
"hotly","hot"
"how much","cost"
"ice cream","popsicle"
"keys","key"
"kid","goat"
"kid's song","song"
"kitty","kitten"
"knock knock","knock"
"like this","similar"
"little (description)","small"
"living room","room"
"look at me","look"
"look for","search"
"many","big"
"meatballs","meatball"
"mittens","mitten"
"more","extra"
"much","big"
"mustache","beard"
"nails","fingernail"
"neigh","horse"
"no","disagree"
"no more","complete"
"one two three","count"
"opened","open"
"ouch","hurt"
"outside","outdoors"
"overalls","pants"
"owie","hurt"
"painfully","painful"
"pajamas","pajama"
"pattycake","game"
"peacock","bird"
"peep peep","peep"
"pen/pencil","pen"
"pen/pencil","pencil"
"photos","photo"
"pick up","take"
"play pen","playpen"
"please","polite"
"put in","in"
"put in","put"
"put on","on"
"put out","out"
"quack quack","duck"
"quesadilla","sandwich"
"quickly","quick"
"quietly","quiet"
"remote control","remote"
"ring around the rosie","song"
"ring ring","ring"
"rocking chair","chair"
"run after","run"
"sabbath","holy"
"same","similar"
"sandals","shoe"
"semolina","grain"
"shh","quiet"
"snowsuit","coat"
"sss","snake"
"standing","stand"
"stomp stomp","stomp"
"sweetly","sweet"
"tahini","sauce"
"take away","take"
"take in arms","hold"
"take off","remove"
"take out","remove"
"tarhana","soup"
"tastily","tasty"
"teddybear","teddy bear"
"ten fingers","finger"
"thank you","thanks"
"tick tock","clock"
"to slap","slap"
"to you","you"
"tortilla","bread"
"tracksuit","jumpsuit"
"turn around","turn"
"turn off","off"
"turn on","on"
"tweet tweet","tweet"
"uh oh","accident"
"voice recorder","recorder"
"vroom","car"
"wafer","cookie"
"wanna","want"
"warmly","warm"
"washing machine","washing"
"washing machine","washer"
"watch out","watch"
"well (modifier)","good"
"wetly","wet"
"who's there","who"
"woof woof","woof"
"yes","agree"
"yogurt drink","yogurt"
"yum yum","yummy"
