не хочу,ne xochash',ne xoches,ne xoches',ne xochesh,ne xochesh',ne xochet,ne xochetsja,ne xochu
не буду,ne budu,ne budut,,,,,,
спокойной ночи,spokojnoj,nochi,,,,,,
доброе утро,dobroe utro,dobroje utro,,,,,,
детский сад,detskij sad,detskij sadik,,,,,,
стиральная машина,stiral'naja mashina,,,,,,,
пожарная машина,pozharnaja mashina,,,,,,,
кто там?,kto tam,,,,,,,
потому что,potomu,potomu chto,,,,,,
а то,a to,,,,,,,
до свидания,do svidanija,,,,,,,
ай-я-яй,ajjajjaj,aj,aj jaj,,,,,
вот так!,vot tak,,,,,,,
