item,mlu
inte,7.04956521739
haka,7.03125
röd,6.01276595745
gård,7.78571428571
jacka,6.92307692308
kall,6.70206489676
ost,6.96428571429
telefon,5.09677419355
tåg,6.2899408284
ge,8.47777777778
radio,2.8
andra,8.07692307692
ris,7.54545454545
pappa,7.07645764576
senare,8.59985369422
ugn,8.90909090909
kanin,6.2874251497
le,7.5
henne,7.29239766082
alla,8.75909878683
skada,9.83333333333
tv,5.0
buss,7.1246105919
träd,8.47619047619
öga,4.68333333333
natt,7.12820512821
huvud,4.81818181818
under,7.89112903226
blå,6.21621621622
mjuk,7.26666666667
sparka,7.2037037037
vem,5.52558139535
fin,6.58902077151
leka,7.84097421203
tröja,7.85507246377
ta,7.44220572641
hej då,2.07142857143
bil,7.02153667055
kasta,6.82608695652
kaka,6.58510638298
ägg,6.54347826087
socka,5.8
åsna,6.5
jeans,4.0
lejon,7.24050632911
overall,4.66666666667
kök,9.0
törstig,4.55555555556
sol,5.78947368421
stol,7.416918429
lunch,10.5
bild,8.27916666667
trappa,5.0
skorpa,12.6
ärtor,1.0
kopp,7.34615384615
docka,6.28934010152
dansa,6.36764705882
slå,9.03305785124
varsågod,2.25
snabb,5.5
åka,7.72508038585
nu,6.81624441133
hammare,9.36363636364
börs,7.0
godis,7.1968503937
stygg,8.0
ut,8.43383137673
smutsig,6.25
söt,4.72413793103
hund,5.88172043011
sch /hysch,2.42857142857
giraff,4.59154929577
upp,8.29193899782
säga,5.82558139535
gås,7.125
lärare,11.09375
anka,5.4238410596
smör,7.0843373494
fisk,6.834375
bort,7.32077502691
skriva,6.23684210526
gå,8.50688705234
farmor,12.5
kyckling,5.08
bakom,7.12592592593
bord,7.20408163265
trasig,8.85714285714
arm,7.11428571429
glasögon,8.0
fot,5.92307692308
vill /vill ha,6.97893258427
våt,8.38095238095
nej,5.8
mus,5.90707964602
garage,9.21428571429
flicka,6.93023255814
god,4.77536231884
simma,6.7602739726
krama,4.17307692308
fat,10.8
russin,8.78947368421
skål,7.29850746269
dag,9.63333333333
kittla,11.5
ren,8.02564102564
finger,9.5
mata,7.44458762887
måne,5.22727272727
sluta,5.11838790932
mun,6.1095890411
ner,8.25521267723
rita,6.82808022923
äpple,7.53846153846
lampa,7.68831168831
gråta,6.05
sten,7.30909090909
bi,5.89473684211
näsa,5.99065420561
boll,6.22333333333
tiger,4.0
hungrig,5.0
blöja,9.07692307692
röra,6.90909090909
kam,5.85714285714
där,6.59347859211
mer,6.77120822622
människor,8.64
stjärna,4.66666666667
brrr,1.0
mössa,6.06086956522
mage,7.82083333333
pingvin,5.85714285714
stjärt,6.6875
vänta,5.68018018018
hemma,8.59347181009
skräp,5.90909090909
låda,8.23333333333
trött,6.92307692308
bok,7.07977207977
hoppa,7.51046025105
dra,8.51006711409
ponny,9.41176470588
juice,6.0
himmel,7.4
papper,6.5
tuff tuff,6.10204081633
medicin,7.0
samma,7.7610619469
städa,6.07692307692
dålig,6.0
stanna,7.31304347826
springa,7.55448717949
mörk,8.09677419355
leksak,12.3333333333
tå,5.61538461538
tunga,5.88888888889
pussa,4.26966292135
bryta,7.16666666667
kisse,5.22457627119
apa,5.48387096774
läsa,6.90737240076
hjälpa,6.90022675737
kex,5.85714285714
nam nam,5.45098039216
middag,13.0
nalle,5.8547008547
gunga,6.5421686747
varmt,7.29197080292
traktor,6.74382716049
skjorta,9.41666666667
dricka,6.25170068027
potta,11.4
affär,8.82352941176
filt,7.27272727273
ingen,6.53746253746
vad,6.2109375
ja,5.35876261048
tant,8.3125
skola,7.5
syster,8.875
kniv,7.71875
tom,4.21875
var,6.00954829232
sked,7.01315789474
du/din,6.89462018302
häst,6.24203821656
hand,7.06582278481
hej,3.26381461676
tvätta,7.78205128205
skynda,8.125
gammal,5.75609756098
macka,6.0
mjau,9.8
vatten,7.37878787879
lekpark,6.5
mormor,5.875
tittut,2.0
ljus,7.12727272727
torr,9.83333333333
stor,7.8591248666
hård,3.71428571429
öppna,7.58651026393
glass,6.88205128205
öra,6.13157894737
pärlor,8.5
hur,6.37477477477
hus,8.84259259259
baby,8.6
dörr,7.80263157895
sko,5.58333333333
glad,7.33142857143
fort,6.21333333333
kalas,6.74137931034
kind,8.5
titta,6.0101126842
ben,7.00460829493
spagetti,5.25
ute,8.6319218241
borste,7.14229249012
knapp,7.79591836735
knä,9.91549295775
tand,6.06666666667
det,7.56194690265
nycklar,4.75
mu,4.41176470588
frukost,7.42857142857
penna,6.75609756098
cykel,6.01176470588
den,6.87795010115
tvål,7.37837837838
ansikte,5.0
när,10.724971666
kaffe,6.38257575758
bröd,7.1
kyrkan,8.75
kudde,6.30769230769
sover,6.29847908745
hår,6.80838323353
ko,6.44444444444
plaska,6.91666666667
idag,6.78571428571
landet,8.87058823529
bror,15.0
bä bä,3.41509433962
djur,7.61464354528
gris,5.34659090909
jag,8.38988095238
av,8.27120669056
kuckeliku,2.0
sax,5.23076923077
spade,7.51515151515
fågel,6.62790697674
morot,5.72727272727
banan,5.72
pyjamas,7.04761904762
lastbil,13.6666666667
min,7.37106918239
säng,7.6463878327
pojke,6.83033932136
sjuk,7.81280788177
köra,7.21408647141
glas,7.34
mig,8.86842105263
lamm,7.54838709677
snö,8.26315789474
vov vov,6.90476190476
flaska,6.4
får,7.55148499925
katt,5.96570203644
mjölk,6.0062305296
på,8.2673992674
lite,7.66456335184
hämta,7.56087824351
groda,5.26315789474
barn,8.0
gaffel,8.0
pizza,4.22222222222
några,8.11111111111
apelsin,4.0
elefant,5.9138576779
bita,7.75177304965
mat,7.44458762887
försiktig,14.5
klocka,4.46153846154
byxa,7.12903225806
blomma,6.11801242236
flingor,3.75
dagis,8.38461538462
regn,7.90476190476
vantar,7.22222222222
tack,2.84686346863
svår,9.96
sätta,8.09560067682
kloss,6.5
hans,6.54807213311
soffa,7.18181818182
halsband,9.0
uggla,6.26666666667
falla,10.6134969325
man,8.38924540828
ballong,6.85135135135
stranden,9.0
blåsa,5.890625
morgon,7.5
faster,7.80743982495
i,8.40145625077
äta,7.64143007361
björn,7.0522875817
sjunga,5.8987854251
varför,5.63846153846
morfar,7.2
stänga,6.45132743363
pengar,7.04761904762
mamma,7.07828983898
kött,6.14285714286
bada,7.44561933535
fönster,7.0
visa,7.9737704918
se,7.77960088692
