"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"other","people","aunt","teta","aunt","aunt",,"tante","тетя","тетя","tia","faster, moster","hala, teyze"
"other","people","baby","beba","baby","baby","תינוק","baby","малыш","малыш","bebe","baby","bebek"
"other","people","babysitter",,"babysitter","babysitter",,,"няня","няня","nana","barnvakt",
"other","people","babysitter's name","ime osobe koja čuva dijete","babysitter's name","babysitter's name",,,,"имя воспитательницы/няни",,"barnvaktens namn",
"other","people","boy","dječak","boy","boy","ילד","gutt","мальчик","мальчик","nino","pojke",
"other","people","brother","brat","brother","brother",,"bror","брат/имя брата","брат","hermano","bror","abi"
"other","people","brother's name",,,,,,,"имя брата",,,
"other","people","child","dijete","child","child",,"barn","дети","ребенок, дети",,"barn","çocuk"
"other","people","child's own name","svoje ime","child's own name","child's own name",,"barnets navn","имя ребенка","имя ребенка","nomnin","barnets eget namn","kendi ismi"
"other","people","children","djeca",,,,,,,,,
"other","people","clown",,,"clown",,,,"клоун",,,"palyaço"
"other","people","cowboy",,,"cowboy",,,,,,,
"other","people","daddy","tata","daddy*",,"אבא","pappa","папа","папа","papa","pappa","baba"
"other","people","daddy*",,,"daddy*",,,,,,,
"other","people","daughter",,,,,,,"дочка",,,
"other","people","doctor","doktor",,"doctor",,,"доктор/врач","доктор/врач",,,"doktor"
"other","people","family",,,,,,,,"familia",,
"other","people","father's name",,,,,,"имя папы","имя мамы",,,
"other","people","fireman",,,"fireman",,,,,,,
"other","people","friend",,,"friend","חבר",,,"друг, подруга",,,"arkadaş"
"other","people","friends' names",,,,,,,"имена знакомых детей",,,
"other","people","girl","djevojčice","girl","girl",,"jente","девочка","девочка","nina","flicka","kız"
"other","people","godfather","kum/kuma",,,,,,,"padrino",,
"other","people","godmother",,,,,,,,"madrina",,
"other","people","grandma","baka","grandma*",,"סבתא","bestemor, farmor, mormor","бабушка","бабушка","abuela","farmor, mormor","anneanne/babaanne/büyükanne, nine"
"other","people","grandma*",,,"grandma*",,,,,,,
"other","people","grandpa","djed","grandpa*",,"סבא","bestefar, farfar, morfar","дедушка","дедушка","abuelo","farfar, morfar","dede"
"other","people","grandpa*",,,"grandpa*",,,,,,,
"other","people","great grandma",,,,,"oldemor",,,,,
"other","people","great grandpa",,,,,"oldefar",,,,,
"other","people","guest",,,,,,,"гость",,,
"other","people","lady",,"lady","lady",,"dame",,,,"tant",
"other","people","mailman",,,"mailman",,,,,,,
"other","people","man","striček","man","man",,"mann",,,"senor","man","adam"
"other","people","mommy","mama","mommy*",,"אמא","mamma","мама","мама","mama","mamma","anne"
"other","people","mommy*",,,"mommy*",,,,,,,
"other","people","mother's name",,,,,,"имя мамы","имя папы",,,
"other","people","names of friends",,,,,,"имена знакомых детей",,,,
"other","people","neighbor",,,,"שכן",,,,,,
"other","people","nurse",,,"nurse",,,,,,,
"other","people","people","ljudi","people","people",,,"люди","люди",,"människor",
"other","people","person",,"person","person","איש","menneske","человек","человек","persona","person",
"other","people","pet's name",,,"pet's name",,,"клички домашних животных","клички домаш-них животных",,,
"other","people","police",,,"police",,,,,,,
"other","people","policeman",,,,,,,,,,"polis"
"other","people","sibling",,,,,,,,,,"kardeş"
"other","people","sister","sestra","sister","sister",,"søster","сестра/имя сестры","сестра","hermana","syster","abla"
"other","people","sister's name",,,,,,,"имя сестры",,,
"other","people","son",,,,,,,"сын",,,
"other","people","teacher",,"teacher","teacher","גננת",,,"воспитательница","maestra","lärare",
"other","people","uncle","stric, ujak","uncle","uncle","דוד","onkel","дядя","дядя","tio","farbror, morbror","amca, dayı"
"other","people","woman",,,,,,,,"senora",,
