"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"other","time_words","after",,,"after","אח'כ",,"потом",,"despues",,
"other","time_words","before",,,"before",,,,,,,
"other","time_words","day","dan","day","day",,"dag","днем","день, днем","dia","dag",
"other","time_words","early",,,,,,"рано","рано","tempran",,
"other","time_words","evening",,,,,,,"вечер, вечером",,,"akşam"
"other","time_words","late",,,,,,"поздно/позже","поздно",,,
"other","time_words","later","poslije","later","later",,"senere",,"потом",,"senare",
"other","time_words","lunch",,,,"צהריים",,,,,,
"other","time_words","moment",,,,"רגע",,,,,,
"other","time_words","morning","jutro","morning","morning","בוקר","morgen","утром","утро, утром",,"morgon","sabah"
"other","time_words","night","noć","night","night","לילה","natt","ночью","ночь, ночью","noche","natt","gece"
"other","time_words","now","sad(a)","now","now","עכשיו","nå","сейчас","сейчас","ahorita","nu","hemen, şimdi"
"other","time_words","sabbath",,,,"שבת",,,,,,
"other","time_words","soon",,,,,,,"скоро",,,
"other","time_words","time",,,"time","פעם",,,,,,
"other","time_words","today","danas","today","today","היום","i dag",,"сегодня","hoy","idag","bugün"
"other","time_words","tomorrow","sutra","tomorrow","tomorrow","מחר","i morgen","завтра","завтра","manana","imorgon",
"other","time_words","tonight","večeras","tonight","tonight",,"i kveld",,,,"ikväll",
"other","time_words","yesterday",,,"yesterday","אתמול",,"вчера","вчера","ayer",,
